lakeid,metric,sampledate,year,daynum
AL,chlor_all,1981-09-12,1981,255
AL,chlor_all,1982-05-11,1982,131
AL,chlor_all,1983-09-29,1983,272
AL,chlor_all,1984-09-24,1984,268
AL,chlor_all,1985-08-19,1985,231
AL,chlor_all,1986-10-22,1986,295
AL,chlor_all,1987-10-05,1987,278
AL,chlor_all,1988-09-28,1988,272
AL,chlor_all,1989-05-01,1989,121
AL,chlor_all,1990-10-17,1990,290
AL,chlor_all,1991-09-10,1991,253
AL,chlor_all,1992-09-21,1992,265
AL,chlor_all,1993-09-22,1993,265
AL,chlor_all,1994-03-29,1994,88
AL,chlor_all,1995-01-11,1995,11
AL,chlor_all,1996-09-16,1996,260
AL,chlor_all,1996-10-02,1996,276
AL,chlor_all,1997-10-20,1997,293
AL,chlor_all,1998-03-16,1998,75
AL,chlor_all,1999-10-04,1999,277
AL,chlor_all,2000-10-02,2000,276
AL,chlor_all,2001-05-01,2001,121
AL,chlor_all,2002-10-09,2002,282
AL,chlor_all,2003-05-15,2003,135
AL,chlor_all,2004-10-25,2004,299
AL,chlor_all,2005-10-20,2005,293
AL,chlor_all,2006-04-20,2006,110
AL,chlor_all,2006-05-01,2006,121
AL,chlor_all,2007-10-08,2007,281
AL,chlor_all,2008-10-06,2008,280
AL,chlor_all,2009-10-14,2009,287
AL,chlor_all,2010-09-13,2010,256
AL,chlor_all,2011-10-05,2011,278
AL,chlor_all,2012-05-29,2012,150
AL,chlor_all,2013-10-30,2013,303
AL,chlor_all,2014-05-20,2014,140
AL,chlor_all,2015-10-06,2015,279
AL,chlor_all,2016-10-11,2016,285
AL,chlor_all,2017-09-05,2017,248
AL,chlor_all,2018-10-02,2018,275
BM,chlor_all,1981-08-11,1981,223
BM,chlor_all,1982-05-25,1982,145
BM,chlor_all,1983-11-14,1983,318
BM,chlor_all,1984-10-15,1984,289
BM,chlor_all,1985-05-14,1985,134
BM,chlor_all,1986-04-23,1986,113
BM,chlor_all,1987-11-04,1987,308
BM,chlor_all,1988-04-25,1988,116
BM,chlor_all,1989-05-02,1989,122
BM,chlor_all,1990-01-23,1990,23
BM,chlor_all,1991-05-20,1991,140
BM,chlor_all,1992-05-05,1992,126
BM,chlor_all,1993-10-04,1993,277
BM,chlor_all,1994-03-30,1994,89
BM,chlor_all,1995-01-11,1995,11
BM,chlor_all,1996-05-28,1996,149
BM,chlor_all,1997-08-13,1997,225
BM,chlor_all,1998-11-02,1998,306
BM,chlor_all,1999-10-21,1999,294
BM,chlor_all,2000-11-01,2000,306
BM,chlor_all,2001-10-31,2001,304
BM,chlor_all,2002-09-23,2002,266
BM,chlor_all,2003-05-15,2003,135
BM,chlor_all,2004-04-29,2004,120
BM,chlor_all,2005-04-22,2005,112
BM,chlor_all,2006-07-25,2006,206
BM,chlor_all,2007-11-09,2007,313
BM,chlor_all,2008-10-06,2008,280
BM,chlor_all,2009-10-12,2009,285
BM,chlor_all,2010-01-18,2010,18
BM,chlor_all,2011-01-14,2011,14
BM,chlor_all,2012-01-11,2012,11
BM,chlor_all,2013-06-10,2013,161
BM,chlor_all,2014-05-20,2014,140
BM,chlor_all,2014-10-22,2014,295
BM,chlor_all,2015-04-23,2015,113
BM,chlor_all,2016-11-11,2016,316
BM,chlor_all,2017-10-17,2017,290
BM,chlor_all,2018-01-22,2018,22
CB,chlor_all,1981-09-25,1981,268
CB,chlor_all,1982-01-18,1982,18
CB,chlor_all,1983-03-25,1983,84
CB,chlor_all,1984-01-05,1984,5
CB,chlor_all,1985-08-20,1985,232
CB,chlor_all,1986-09-23,1986,266
CB,chlor_all,1987-02-23,1987,54
CB,chlor_all,1988-01-20,1988,20
CB,chlor_all,1989-02-21,1989,52
CB,chlor_all,1990-10-15,1990,288
CB,chlor_all,1991-03-22,1991,81
CB,chlor_all,1992-10-07,1992,281
CB,chlor_all,1993-01-14,1993,14
CB,chlor_all,1994-08-11,1994,223
CB,chlor_all,1995-02-15,1995,46
CB,chlor_all,1996-06-25,1996,177
CB,chlor_all,1997-01-13,1997,13
CB,chlor_all,1998-01-20,1998,20
CB,chlor_all,1999-01-19,1999,19
CB,chlor_all,2000-09-18,2000,262
CB,chlor_all,2001-09-19,2001,262
CB,chlor_all,2002-10-08,2002,281
CB,chlor_all,2003-02-20,2003,51
CB,chlor_all,2004-11-08,2004,313
CB,chlor_all,2005-01-12,2005,12
CB,chlor_all,2006-01-12,2006,12
CB,chlor_all,2007-01-22,2007,22
CB,chlor_all,2008-10-07,2008,281
CB,chlor_all,2009-09-28,2009,271
CB,chlor_all,2010-10-25,2010,298
CB,chlor_all,2011-05-02,2011,122
CB,chlor_all,2012-08-08,2012,221
CB,chlor_all,2013-08-05,2013,217
CB,chlor_all,2014-10-08,2014,281
CB,chlor_all,2015-08-26,2015,238
CB,chlor_all,2016-05-11,2016,132
CB,chlor_all,2017-09-07,2017,250
CB,chlor_all,2018-03-27,2018,86
CR,chlor_all,1981-08-12,1981,224
CR,chlor_all,1982-05-10,1982,130
CR,chlor_all,1983-06-06,1983,157
CR,chlor_all,1984-05-08,1984,129
CR,chlor_all,1985-05-15,1985,135
CR,chlor_all,1985-07-08,1985,189
CR,chlor_all,1986-11-03,1986,307
CR,chlor_all,1987-11-04,1987,308
CR,chlor_all,1988-05-12,1988,133
CR,chlor_all,1989-01-18,1989,18
CR,chlor_all,1990-10-17,1990,290
CR,chlor_all,1991-10-31,1991,304
CR,chlor_all,1992-10-08,1992,282
CR,chlor_all,1993-05-05,1993,125
CR,chlor_all,1994-11-16,1994,320
CR,chlor_all,1995-11-01,1995,305
CR,chlor_all,1996-11-05,1996,310
CR,chlor_all,1997-05-07,1997,127
CR,chlor_all,1998-01-14,1998,14
CR,chlor_all,1999-10-20,1999,293
CR,chlor_all,2000-04-19,2000,110
CR,chlor_all,2001-01-19,2001,19
CR,chlor_all,2002-05-09,2002,129
CR,chlor_all,2003-04-04,2003,94
CR,chlor_all,2004-11-09,2004,314
CR,chlor_all,2005-11-15,2005,319
CR,chlor_all,2006-11-03,2006,307
CR,chlor_all,2007-10-25,2007,298
CR,chlor_all,2008-06-05,2008,157
CR,chlor_all,2009-11-11,2009,315
CR,chlor_all,2010-11-10,2010,314
CR,chlor_all,2011-05-04,2011,124
CR,chlor_all,2012-09-06,2012,250
CR,chlor_all,2013-08-21,2013,233
CR,chlor_all,2014-11-13,2014,317
CR,chlor_all,2015-04-20,2015,110
CR,chlor_all,2016-11-14,2016,319
CR,chlor_all,2017-11-13,2017,317
CR,chlor_all,2018-11-11,2018,315
FI,chlor_all,1999-08-31,1999,243
FI,chlor_all,2000-01-27,2000,27
FI,chlor_all,2001-05-23,2001,143
FI,chlor_all,2002-04-10,2002,100
FI,chlor_all,2005-04-13,2005,103
FI,chlor_all,2006-08-23,2006,235
FI,chlor_all,2007-09-21,2007,264
FI,chlor_all,2008-05-02,2008,123
FI,chlor_all,2009-08-18,2009,230
FI,chlor_all,2010-02-19,2010,50
FI,chlor_all,2011-09-14,2011,257
FI,chlor_all,2012-07-27,2012,209
FI,chlor_all,2013-09-12,2013,255
FI,chlor_all,2014-05-13,2014,133
FI,chlor_all,2015-11-04,2015,308
FI,chlor_all,2016-02-16,2016,47
FI,chlor_all,2017-08-22,2017,234
FI,chlor_all,2018-04-25,2018,115
ME,chlor_all,1999-08-02,1999,214
ME,chlor_all,2000-07-17,2000,199
ME,chlor_all,2001-07-02,2001,183
ME,chlor_all,2002-03-28,2002,87
ME,chlor_all,2005-07-05,2005,186
ME,chlor_all,2006-05-30,2006,150
ME,chlor_all,2007-04-16,2007,106
ME,chlor_all,2008-04-14,2008,105
ME,chlor_all,2009-07-20,2009,201
ME,chlor_all,2010-03-29,2010,88
ME,chlor_all,2011-04-18,2011,108
ME,chlor_all,2012-03-21,2012,81
ME,chlor_all,2013-07-08,2013,189
ME,chlor_all,2014-05-14,2014,134
ME,chlor_all,2015-05-13,2015,133
ME,chlor_all,2016-04-25,2016,116
ME,chlor_all,2017-04-17,2017,107
ME,chlor_all,2018-05-07,2018,127
MO,chlor_all,1999-08-30,1999,242
MO,chlor_all,2000-08-01,2000,214
MO,chlor_all,2001-08-27,2001,239
MO,chlor_all,2002-04-10,2002,100
MO,chlor_all,2005-04-18,2005,108
MO,chlor_all,2006-10-04,2006,277
MO,chlor_all,2007-04-03,2007,93
MO,chlor_all,2008-04-17,2008,108
